"Authors","Title","Year","Journal","Volume","Issue","Page_Start","Page_End","Citations"
"Bhardwaj, S., and Dalal, A.","Mesoscopic Analysis of Three-dimensional Droplet Displacement on Wetted Grooved Wall of a Rectangular Channel","2018","European Journal of Mechanics, B/Fluids","67",,"35","53","0"
"S. Sajith, K. S. R. Krishna Murthy and P. S. Robi","A simple technique for estimation of mixed mode (I/II) stress intensity factors","2018","Journal of Mechanics of Materials and Structures","Acepted for publication",,,,"0"
"S. Sajith, K. S. R. Krishna Murthy and P. S. Robi","Prediction of accurate mixed mode fatigue crack growth curves using the Paris? law","2018","Journal of The Institution of Engineers (India): Series C.","Available online",,,,"0"
"D. Shankar, M. Pandey, D.N. Basu","Parametric effects on coupled neutronic-thermohydraulic stability characteristics of supercritical water cooled reactor","2018","Annals of Nuclear Energy","112","Feb 2018","120","131","0"
"K. K. Gajrani, S. Suresh, M. Ravi Sankar,","Environmental friendly hard machining performance of uncoated and MoS2 coated mechanical micro-textured tungsten carbide cutting tools","2018","Tribology International","Accepted for Publication",,,,"0"
"K. K. Gajrani, R. P. Reddy, M. Ravi Sankar","Tribo-Mechanical, Surface Morphological Comparison of Un-Textured, Mechanical Micro-Textured (M?T) and Coated M?T Cutting Tools during Machining","2018","IMechE, Part J: Journal of Engineering Tribology","Accepted for Publication",,,,"0"
"S. Singh, D. Kumar, M. Ravi Sankar","Viscoelastic medium modeling and surface roughness simulation of microholes finished by abrasive flow finishing process","2018","International Journal of Advanced Manufacturing Technology","Accepted for Publication",,,,"0"
"S. Singh, D. Kumar, M. Ravi Sankar, K. Rajurkar","Nanofinishing of Microslots on Surgical Stainless Steel by Abrasive Flow Finishing Process: Experimentation and Modeling","2018","ASME Journal of Micro-Nano Manufacturing","6","2","21005-1","21005-12","0"
"W. Jiru, M. Ravi Sankar, U. S. Dixit","Laser Surface Melting of Al-12Si-4Cu-1.2Mn Alloy","2018","International Journal of Mechatronics and Manufacturing Systems","Accepted for Publication",,,,"0"
"S. Pati, P.K. Mondal","Limiting thermal characteristics for flow of non-Newtonian fluids between asymmetrically heated parallel plates: An analytical study","2018","Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering","Accepted for Publication",,,,"0"
"H.S. Gaikwad, P.K. Mondal, D. N. Basu, N. Chimres, S. Wongwises","Analysis of the effects of Joule heating and viscous dissipation on combined pressure-driven and electrokinetic flows in a two-parallel plate channel with unequal constant temperatures","2018","Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering","Accepted for Publication",,,,"0"
"A. Gogoi, K. Anki Reddy, P. K. Mondal","Multilayer Graphene Oxide Membrane in Forward Osmosis: Molecular Insights","2018","ACS Applied Nano Materials","1","9","4450","4460","0"
"R. Sarma, N. Deka, K. Sarma, P. K. Mondal","Electroosmotic flow of Phan-Thien?Tanner fluids at high zeta potentials: An exact analytical solution","2018","Physics of Fluids","30","6","62001",,"0"
"G. Kunti, P. K. Mondal, A. Bhattacharya, S. Chakraborty","Electrothermally modulated contact line dynamics of a binary fluid in a patterned fluidic environment","2018","Physics of Fluids","30","9","92005",,"0"
"P. K. Mondal, S. Chaudhry","Effects of gravity on the thermo-hydrodynamics of moving contact lines","2018","Physics of Fluids","30","4","42109",,"0"
"A. Lahiri, P. K. Mondal","Evaluation of temperature history of a spherical nanosystem irradiated with various short-pulse laser sources","2018","Physical Review E","97","4","43302",,"0"
"R. Sarma, P. K. Mondal","Marangoni instability in a thin film heated from below: Effect of nonmonotonic dependence of surface tension on temperature","2018","Physical Review E","97","4","043105-1","043105-13","0"
"H. S. Gaikwad, P. K. Mondal, S.Wongwises","Softness induced enhancement in net throughput of non linear bio fluids in nanofluidic channel under EDL phenomena","2018","Scientific Reports - Nature","8","1","7893-1","7893-16","0"
"H. S. Gaikwad, A. Roy, P. K. Mondal, N. Chimres, S. Wongwises","Irreversibility analysis in a slip aided electroosmotic flow through an asymmetrically heated microchannel: The effects of joule heating and the conjugate heat transfer","2018","Analytica Chimica Acta","in press",,,,"0"
"A. Mukherjee, P. K. Mondal","Analysis of Heat Transfer Through Optically Participating Medium in a Concentric Spherical Enclosure: The Role of Dual-Phase-Lag Conduction and Radiation","2018","Journal of Thermal Science and Engineering Applications ","10","4","41022",,"0"
"R. Sarma, A. Nath, T. Konwar, P. K. Mondal, S. Wongwises","Thermo-hydrodynamics of a viscoelastic fluid under asymmetrical heating","2018","International Journal of Heat and Mass Transfer","125",,"515","524","0"
"P. K. Mondal, S. Wongwises","Assesment of Thermodynamic Irreversibility in a Micro-Scale Viscous Dissipative Circular Couette Flow","2018","Entropy","20","1","50-1","50-18","0"
"Piyush Singh, Pankaj Biswas and Sachin D","Influence of Welding Traverse Speed in Self-Reacting Friction Stir Welding of Aluminium alloy AA6061-T6","2018","Journal of Ship Production and Design","Accepted for Publication",,,,"0"
"H. K. Narang, M. M. Mahapatra, P. K. Jha, PVSS Sridhar and P. Biswas","Experimental and Numerical Study on Effect of Weld Reinforcement on Angular Distortion of SAW Square butt Welded Plates","2018","Journal of Welding and Joining","Accepted for Publication",,,,"0"
"S. Behera, P. Kumari","Free Vibration of Levy-type Rectangular Laminated Plates using Efficient Zig-Zag Theory","2018","Advances in Computational Design","Accepted for Publication",,,,"0"
"A. Singh, P. Kumari","Two-Dimensional elasticity solution for arbitrarily supported axially functionally graded","2018","Journal of Solid Mechanics","Accepted for Publication",,,,"0"
"Poonam Kumari, Shranish Kar","Static behavior of arbitrarily supported 
composite laminated 
cylindrical shell panels: An analytical 3D 
elasticity approach","2018","Composite Structures","Accepted for Publication",,,,"0"
"Agyapal Singh, Poonam Kumari","Analytical Solution of Functionally Graded 
Beam Having Longitudinal Stiffness Variation","2018","International Journal for Computational Methods in Engineering Science & Mechanics","Accepted for Publication",,,,"0"
"Agyapal Singh, Poonam Kumari, and Rupam Hazarika","Analytical Solution for Bending Analysis 
of Axially Functionally Graded Angle-Ply Flat Panels","2018","Mathematical Problems in Engineering ","Accepted for Publication",,,,"0"
"Devarshi Kashyap, P. Kishore Kumar, and S. Kanagaraj","4D printed porous radiopaque shape memory polyurethane for endovascular embolization","2018","Additive Manufacturing","24",,"687","695","0"
"R. Vignesh Babu, S. Kanagaraj","Thermal, electrical and mechanical characterization of microwave sintered Copper/carbon nanotubes (CNT) composites against sintering duration, CNT diameter and its concentration","2018","Journal of Materials Processing Tech","258",,"296","309","0"
"R. Vignesh Babu, Avanish Verma Kunwar, M. Charan, S. Kanagaraj","Tweaking the diameter and concentration of carbon nanotubes and sintering duration in Copper based composites for heat transfer applications","2018","Advanced Powder Technology","29",,"2356","2367","0"
"Vishal Agrawal, Sachin S. Gautam","Higher-order Hermite enriched contact finite elements for adhesive contact problems,","2018","International Journal of Materials and Structural Integrity,","Accepted for Publication",,,,"0"
"Vishal Agrawal, Sachin S. Gautam","IGA: A simplified introduction and implementation details for finite element users","2018","Journal of The Institution of Engineers (India): Series C","Accepted for Publication",,,,"0"
"R. Shufen and U.S. Dixit","A review of theoretical and experimental research on various autofrettage processes","2018","ASME Journal of Pressure Vessel Technology","140","5",,,"0"
"Xiaojing Suo, Hengcheng Liao, Yiyun Hu, Uday S. Dixit, Pavel Petrov","Formation of Al15Mn3Si2 phase during solidification of a novel Al-12%Si-4%Cu-1.2%Mn heat-resistant alloy and its thermal stability","2018","Journal of Materials Engineering and Performance","Online on Feb. 21, 2018",,,,"0"
"Pallekonda R. B., Nanda S. R., Dwivedy S. K.","Application of Neural-Networks and Neuro-Fuzzy Systems for the Prediction of Short Duration Forces Acting on the Blunt Bodies","2018","Soft Computing",,,,,"0"
"N Devarani, SN Joshi","Surface Alloying of Ti-6Al-4V on P20 Mold Steel using Electric Discharge Processing (EDP)","2018","Materials Today: Proceedings","5","2","8523","8531","0"
"G Bolar, M Mekonen, A Das, SN Joshi","Experimental Investigation on Surface Quality and Dimensional Accuracy during Curvilinear Thin-Wall Machining","2018","Materials Today: Proceedings","5","2","6461","6469","0"
"G Bolar, A Das, SN Joshi","Measurement and analysis of cutting force and product surface quality during end-milling of thin-wall components","2018","Measurement","121",,"190","204","0"
"R. Kant and S N Joshi","Numerical investigations into influence of scanning path curvature on deformation behavior during curvilinear laser bending of magnesium sheets","2018","Journal of Thermal Stresses","41","3","313","330","0"
"SS Singh, PK Baruah, A Khare, SN Joshi","Effect of laser beam conditioning on fabrication of clean micro-channel on stainless steel 316L using second harmonic of Q-switched Nd: YAG laser","2018","Optics and Laser Technology","99",,"107","117","0"
"G Bolar, SN Joshi","Numerical Modeling and Experimental Validation of Machining of Low-Rigidity Thin-Wall Parts","2018","Precision Product-Process Design and Optimization",,,"99","122","0"
"S. Brahmachary, G. Natarajan and N. Sahoo","On maximum ballistic coefficient axisymmetric geometries in hypersonic flows","2018","Journal of Spacecraft and Rockets","55",,"518","522","0"
"S. Brahmachary, G. Natarajan, V. Kulkarni and N. Sahoo","A sharp?interface immersed boundary framework for simulations of high?speed inviscid compressible flows","2018","International Journal of Numerical Methods in Fluids","86",,"770","791","0"
"N. Sahoo, V. Kulkarni and R. K. Peetala","Conjugate heat transfer study in hypersonic flows","2018","Journal of the Institution of Engineers (India): Series C","99","2","151","158","0"
"S. Agarwal and N. Sahoo","An experimental investigation towards calibration of a shock tube and stagnation heat flux determination","2018","International Journal of Aerodynamics","6","1","18","40","0"
"S. Sarma, N. Sahoo and A. Unal","Prediction of impulse heat load on thin film gauges through soft computing technique","2018","Journal of the Institution of Engineers (India): Series C","Article in Press","doi: 10.1007/s40032-018-0458-2",,,"0"
"S. Pandian, S. L. N. Desikan and N. Sahoo","Experimental investigation of starting characteristics and wave propagation from a shallow open cavity and its acoustic emission at supersonic speed","2018","Physics of Fluids","30",,"16104-1","16104-11","0"
"Purnendu Kumar Mandal, P.S. Robi,","Influence of micro-alloying with silver on microstructure and mechanical Properties of Al-Cu alloy","2018"," Materials  Science  and Engineering A.","A722","1","99","111","0"
"D. G. Gunjo, P. Mahanta and P. S. Robi","Melting enhancement of a latent heat storage with dispersed Cu, CuO and Al2O3 nanoparticles for solar thermal applications","2018","Renewable Energy. 121C (2018)pp: 652-665.","121",,"652","665","0"
"J.Sunku Prasad, P.Muthukumar, R.Anandalakshmi, HakeemNiyas","Comparative study of phase change phenomenon in high temperature cascade latent heat energy storage system using conduction and conduction-convection models","2018","Solar Energy","176",,"627","637","0"
"B Kiran Naik, P Muthukumar, P Sunil Kumar","A novel finite difference model coupled with recursive algorithm for analyzing heat and mass transfer processes in a cross flow dehumidifier/regenerator","2018","International Journal of Thermal Sciences","131",,"1","13","0"
"B Kiran Naik, Mrinal Bhowmik, P Muthukumar","Experimental investigation and numerical modelling on the performance assessments of evacuated U?Tube solar collector systems","2018","Renewable Energy","Article in Press","https://doi.org/10.1016/j.renene.2018.09.066",,,"0"
"B Kiran Naik, P Muthukumar","Energy, Entransy and Exergy Analyses of a Liquid Desiccant Regenerator","2018","International Journal of Refrigeration","Article in Press","https://doi.org/10.1016/j.ijrefrig.2018.08.016",,,"0"
"P Muthukumar, Alok Kumar, Nithin N Raju, K Malleswararao, Muhammad M Rahman","A critical review on design aspects and developmental status of metal hydride based thermal machines","2018","International Journal of Hydrogen Energy","43","37","17753","17779","0"
"B Kiran Naik, P Muthukumar, C Bhattacharyya","Thermal modelling and parametric investigations on coupled heat and mass transfer processes occurred in a packed tower","2018","Heat and Mass Transfer","Article in Press","https://doi.org/10.1007/s00231-018-2440-1","1","18","0"
"DVN Lakshmi, P Muthukumar, Apurba Layek, Prakash Kumar Nayak","Drying kinetics and quality analysis of black turmeric (Curcuma caesia) drying in a mixed mode forced convection solar dryer integrated with thermal energy storage","2018","Renewable Energy","120",,"23","34","0"
"Lav Kumar Kaushik, P Muthukumar","Life cycle Assessment (LCA) and Techno-economic Assessment (TEA) of medium scale (5?10 kW) LPG cooking stove with two-layer porous radiant burner","2018","Applied Thermal Engineering","133",,"316","326","0"
"Chilaka Ravi Chandra Rao, Hakeem Niyas, P Muthukumar","Performance tests on lab?scale sensible heat storage prototypes","2018","Applied Thermal Engineering","129",,"953","967","0"
"Niraj Kumar Mishra, P Muthukumar","Development and testing of energy efficient and environment friendly porous radiant burner operating on liquefied petroleum gas","2018","Applied Thermal Engineering","129",,"482","489","0"
"Niraj Kumar Mishra, P Muthukumar, Snehasish Panigrahy","A Review on Clean Combustion Within Porous Media","2018","Air Pollution and Control",,,"209","224","0"
"Hakeem Niyas, Muthukumar P","A Novel Encapsulation Technique for Performance Improvements in Latent Heat Storage System","2018","Solar Energy","Accepted on 15 Jan 2018",,,,"0"
"Muthukumar P, Bukke Kiran Naik, Amarendra Goswami","Performance Evaluation of a Mechanical Draft Cross Flow Cooling Towers Employed in a Subtropical Region","2018","Journal of The Institution of Engineers (India)","Accepted on 28th Dec 2017",,,,"0"
"B.N. Fetene, V. Kumar, U.S. Dixit and R. Echempati  ","Numerical and experimental study on multi-pass laser bending of AH36 steel strips","2018","Optics and Laser Technology","99",,"291","300","0"
"G. Li, H. Liao, X. Suo, Y. Tang, U.S. Dixit and P. Petrov ","Cr-induced morphology change of primary Mn-rich phase in Al-Si-Cu-Mn heat resistant aluminum alloys and its contribution to high temperature strength","2018","Materials Science & Engineering ","709",,"90","96","0"
"P.P. Dutta, K. Kalita, U.S. Dixit and H. Liao","Magnetic-force-assisted straightening of bent mild steel strip by laser irradiation","2018","Lasers in Manufacturing and Materials Processing","4","4","206","226","0"
"G.C. Verma, P.M. Pandey and U.S. Dixit","Modeling of static machining force in axial ultrasonic-vibration assisted milling considering acoustic softening ","2018","International Journal of Mechanical Sciences","136",,"1","16","0"
"S. Das, S.S. Gautam, C.R. Gautam, A. Madheshiya and U.S. Dixit","Parametric optimization of dry sliding wear and friction of germanium doped lead calcium titanate borosilicate glass ceramic","2018","Ceramic International","44","6","6541","6550","0"
"R. Shufen and U.S. Dixit","A review of theoretical and experimental research on various autofrettage processes","2018","ASME Journal of Pressure Vessel Technology","140","5","50802-1","50802-15","0"
"U.S. Dixit, V. Yadav, R.G. Naryanan and N. Bhardwaj","Friction in micromanufacturing: a review","2018","Journal of Micromanufacturing","1","1","76","91","0"
"W.G. Jiru, M.R. Sankar and U.S. Dixit","Laser surface alloying of aluminum for improving acid corrosion resistance ","2018","Journal of Institution of Engineers, Series (C)","Available online ",,,,"0"
"G.C. Verma, P.M. Pandey and U.S. Dixit","Estimation of workpiece-temperature during ultrasonic-vibration assisted milling considering acoustic softening","2018","International Journal of Mechanical Sciences","140",,"547","556","0"
"K.K. Gajrani, M.R. Sankar and U.S. Dixit","Environmentally friendly machining with MoS2 filled mechnaically micro-textured cutting tools","2018","Journal of Mechnical Science and Technology","32","8","3797","3805","0"
"P.P. Dutta, K. Kalita and U.S. Dixit ","Electromagnetic-force-assisted bending and striaghtening of AH36 steel strip by laser irradaition ","2018","Lasers in Manufacturing and Materials Processing","5","3","201","221","0"
"R. Bhadra, P. Pankaj, P. Biswas and U.S. Dixit","Thermo-mechanical analysis of CO2 laser butt welding on AISI 304 steel thin plates ","2018","International Journal of Steel Structures ","Available online ",,"1","14","0"
"R. Shufen and U.S. Dixit","An analysis of thermal autofrettage process with heat treatment ","2018","International Journal of Mechanical Sciences","144",,"134","145","0"
"V. Kumar and U.S. Dixit","A model for the estimation of hardness of laser bent strips","2018","Optics and Laser Technology","107",,"491","499","0"
"A. Bisht, V. Yadav, S. Suwas and U.S. Dixit","Deformation behavior of AM30 magnesium alloy","2018","Journal of Materials Engineering and Performance","27","9","4900","4910","0"
"V. Kumar, U.S. Dixit and J. Zhang","Determination of thermal conductivity, absorpitivity and heat transfer coefficient during laser-based manufacturing ","2019","Measurement","131",,"319","328","0"
"K.K. Gajrani, M.R. Sankar and U.S. Dixit","Environmentally friendly machining with MoS2 filled mechnaically micro-textured cutting tools","2018","Journal of Mechnical Science and Technology","32","8","3797","3805","0"
"K.K. Gajrani, R. P. K. Reddy and M.R. Sankar ","Tribo-mechanical, surface morphological comparison of un-textured, mechanical micro-textured (M?T) and coated-M?T cutting tools during machining","2018","Proceedings of the Institution of Mechanical Engineers, Part J: Journal of Engineering Tribology","Available online ","DOI: 10.1177/1350650118764975",,,"0"
"K.K. Gajrani, M.R. Sankar and U.S. Dixit","Tribological performance of MoS2-filled microtextured cutting tools during dry sliding test","2018","ASME Journal of Tribology","140","2","021301-1","021301-11","0"
"K.K. Gajrani, S. Suresh and M.R. Sankar ","Environmental friendly hard machining performance of uncoated and MoS2 coated mechanical micro-textured tungsten carbide cutting tools","2018","Tribology International","125",,"141","155","0"
"K. K. Gajrani, P. S. Suvin, S. V. Kailas and M. R. Sankar","Hard machining performance of indigenously developed green cutting fluid using flood cooling and minimum quantity cutting fluid","2019","Journal of Cleaner Production","206",,"108","123","0"
"K. K. Gajrani, P. S. Suvin, S. V. Kailas and M. R. Sankar","Thermal, rheological, wettability and hard machining performance of MoS2 and CaF2 based minimum quantity hybrid nano-green cutting fluids","2019","Journal of Materials Processing Technology","266",,"125","139","0"
"Apurba Das, Anil Kumar Chikkala, Gyan Prakash Bharti, Rasmi Ranjan Behera, M. Ravi Sankar, Alika Khare, Pamu Dobbidi","Effect of Thickness on Optical and Microwave Dielectric Properties of Hydroxiapetite Films Deposited by RF Magnetron Sputtering","2018","Journal of Alloys and Compounds","739",,"729","736","0"
"Sachin Singh, T.N. Deepu Kumar, M. Ravi Sankar, K.P. Rajukar","Nanofinishing of Microslots on Surgical Stainless Steel by Abrasive Flow Finishing Process: Experimentation and Modeling","2018","ASME Journal of Micro and Nano-Manufacturing","6","2","021005-1","021005-12","0"
"Sachin Singh, Deepu Kumar, M. Ravi Sankar, V.K. Jain","Viscoelastic medium modeling and surface roughness simulation of microholes finished by abrasive flow finishing process","2018","International Journal of Advanced Manufacturing Technology","Available online ","DOI: 10.1007/s00170-018-1912-2.",,,"0"
"Rasmi Ranjan Behera, M. Ravi Sankar, Prahlad Kumar Baruah, Ashwini Kumar Sharma, Alika Khare","Experimental investigation of nanosecond-pulsed Nd:YAG laser beam micromachining on 304 stainless steel","2018","Journal of Micromanufacturing","Available online ","DOI: 10.1177/2516598418766937",,,"0"
"Rasmi Ranjan Behera, A. Das, D. Pamu, L.M. Pandey, M. Ravi Sankar","Mechano-tribological properties and in vitro bioactivity of biphasic calcuim phosphate coating on Ti-6Al-4V","2018","Journal of the Mechanical Behavior of Biomedical Materials","86",,"143","157","0"
"M. Ravi Sankar, V.K. Jain, J. Ramkumar, Shivesh K. Sareen, Sachin Singh","Medium rheological characterization and performance study during rotational abrasive flow finishing (R-AFF) of Al alloy and Al alloy/SiC MMCs","2018","International Journal of Advanced Manufacturing Technology","Available online ","DOI: 10.1007/s00170-018-2244-y",,,"0"
"Rasmi Ranjan Behera, Abshar Hasan, M. Ravi Sankar, L.M. Pandey","Laser cladding with HA and functionally graded TiO2-HA precursors on Ti-6Al-4V alloy for enhancing bioactivity and cyto-compatibality","2018","Surface and Coatings Technology","Available online ","DOI: 10.1016/j.surfcoat.2018.08.044",,,"0"
"U Talukdar, SM Hazarika, JQ Gan","A Kernel Partial least square based feature selection method","2018","Pattern Recognition ","83",,"91","106","0"
"S Pushp, A Saikia, A Khan, SM Hazarika","A cognitively enhanced collaborative control architecture for an intelligent wheelchair: Formalization, implementation and evaluation","2018","Cognitive Systems Research ","49",,"114","127","0"
"R Bhattacharyya, SM Hazarika","Object affordance driven inverse reinforcement learning through conceptual abstraction and advice","2018","Paladyn Journal of Behavioral Robotics","9","1","277","294","0"
"V. Pandey, G. Biswas and A. Dalal","Effect of surface wettability and electric field on transition of film boiling to nucleate boiling","2018","Numerical Heat Transfer, Part A","74",,"1105","1120","0"
"S. Bhardwaj, A. Dalal, G. Biswas and P. P. Mukherjee","Analysis of droplet dynamics in a partially obstructed confinement in a three-dimensional Channel","2018","Physics of Fluids","30",,"102102-1","102102-14","0"
"V. Pandey, G. Biswas, A. Dalal and S.W.J. Welch","Bubble Lifecycle During Heterogeneous Nucleate Boiling","2018","Journal of Heat Transfer (ASME)","140",,"121503-1","121503-17","0"
"B. Nath, G. Biswas, A. Dalal, and K. C. Sahu","Cross-stream migration of drops suspended in Poiseuille flow in the presence of an electric field","2018","Physical Review E","97",,"063106-1","063106-13","0"
"H. Deka, B. Ray, G. Biswas, and A. Dalal","Dynamics of tongue shaped cavity generated during the impact of high-speed microdrops","2018","Physics of Fluids","30",,"042103-1","042103-14","0"
"M. P. Borthakur, G. Biswas, and D. Bandyopadhyay","Dynamics of deformation and pinch-off of a migrating compound droplet in a tube","2018","Physical Review E","97",,"043112-1","043112-9","0"
"M.P. Borthakur, D. Bandyopadhyay and G. Biswas","Electric field mediated separation of water?ethanol mixtures in carbon nanotubes integrated in nanoporous graphene membranes","2018","Faraday Discuss","209",,"259","271","0"
"Anwesa Barman, Manas Das","Nano-finishing of bio-titanium alloy to generate different surface morphologies by changing Magnetorheological polishing fluid compositions","2018","Precision Engineering","51",,"145","152","0"
"Anwesa Barman, Manas Das","Magnetic field assisted finishing process for super-finished Ti alloy implant and its 3D surface characterization","2018","The Proceedings of the Institution of Mechanical Engineers","Available online","DOI: https://doi.org/10.1177/2516598418785506",,,"0"
"Anwesa Barman, Manas Das","Simulation and experimental investigation of finishing forces in magnetic field assisted finishing process","2018","Journal of Materials and Manufacturing Processes ","133","11","1223","1232","0"
"Chandan Kumar, Manas Das, C.P. Paul, K.S. Bindra","Characteristics of ?ber laser weldments of two phases (?+?) titanium alloy","2018","Journal of Manufacturing Processes","35",,"351","359","0"
"Chandan Kumar, Manas Das, C.P. Paul, K.S. Bindra","Comparison of bead shape, microstructure and mechanical properties of ?ber laser beam welding of 2 mm thick plates of Ti-6Al-4V alloy","2018","Optics and Laser Technology ","105",,"306","321","0"
"Anupam Alok, Manas Das","Multi-objective optimization of cutting parameters during sustainable dry hard turning of AISI 52100 steel with newly develop HSN2?coated carbide insert","2018","Measurement","Available online","DOI: https://doi.org/10.1016/j.measurement.2018.10.009",,,"0"
"Utpal Kiran, Deepak Sharma, Sachin Singh Gautam","GPU warp based FE matrices generation and assembly using coloring method","2018","Journal of Parallel and Distributed Computing","Accepted",,,,"0"
"Vishal Agrawal, Sachin Singh Gautam","NURBS-enriched contact isogeometric element for adhesive contact problems","2018","Journal of Aerospace Systems Engineering","Accepted",,,,"0"
"Dipankar Bora, Manoj Kumar, Sachin Singh Gautam","Ductile fracture at high velocity impact of cylindrical tubes","2018","Materials Today: Proceedings","5",,"18983","18991","0"
"Arup Nandy, C. S. Jog","Conservation Properties of the Trapezoidal Rule for Linear Transient Electromagnetics","2018","Journal of Advances in Mathematics and Computer Science","26","4","1","26","0"
"Arup Nandy, C. S. Jog","A monolithic finite-element formulation for magnetohydrodynamics","2018","Sadhana: Indian Academy of Sciences","43",,"151",,"0"
"Nath, B., Raza, A., Sethi, V., Dalal, A., Ghosh, S., and Biswas, G.","Understanding Flow Dynamics, Viability and Metastatic Potency of Cervical Cancer (HeLa) Cells Through Constricted Microchannels","2018","Scientific Reports","8",,"17357-1","17357-10","0"
"Parmananda, M., Dalal, A., and Natarajan, G.","Numerical appraisal of three low Mach number algorithms for radiative-convective flows in enclosures ","2018","Computers and Mathematics with Applications","In Press",,,,"0"
"Manik, J., Dalal, A., and Natarajan, G.","A Parametric Study on the Droplet Detachment Process from the Ceiling Under the Effect of Gravity","2018","Engineering Computations","In Press",,,,"0"
"Randive, P., Dalal, A., and Mukherjee, P.","Probing the Influence of Confinement and Wettability on Droplet Displacement Behavior: A Mesoscale Analysis","2018","European Journal of Mechanics, B/Fluids","available online",,,,"0"
"Deka, M., Brahmachary, S., Thirumalaisamy, R., Dalal, A., and Natarajan, G.","A new Green-Gauss Reconstruction on Unstructured Meshes. Part I: Gradient Reconstruction","2018","Journal of Computational Physics","available online",,,,"0"
"Bhardwaj, S., Dalal, A., Mukherjee, P. P., and Biswas, G.","Analysis of Droplet Dynamics in a Partially Obstructed Confinement in a Three-dimensional Channel","2018","Physics of Fluids","30",,"102102-1","102102-14","0"
"Pandey, V., Biswas, G., and Dalal, A.","Effect of Surface Wettability and Electric Field on Transition of Film Boiling to Nucleate Boiling","2018","Numerical Heat Transfer, Part A","74","3","1105","1120","0"
"Pandey, V., Biswas, G., Dalal, A., and Welch, S.W.J.","Bubble Lifecycle During Heterogeneous Nucleate Boiling","2018","ASME Journal of Heat Transfer","140","12","121503-1","121503-17","0"
"Parmananda, M., Thirumalaisamy, R., Dalal, A., and Natarajan, G.","Investigations of Turbulence-radiation Interaction in Non-Oberbeck-Boussinesq Buoyancy-driven Flows","2018","International Journal of Thermal Sciences","134",,"298","316","0"
"Bhardwaj, S., and Dalal, A.","Sweeping of the Entrapped Fluid out of the Groove in a Three-dimensional Channel Using Lattice Boltzmann Method","2018","European Journal of Mechanics, B/Fluids","2",,"328","339","0"
"Kotoky, S., Dalal, A., and Natarajan, G.","Effects of Specularity and Particle-particle Restitution Coefficients on the Recirculation Characteristics of Dispersed Gas-particle Flows Through a Sudden Expansion","2018","Advanced Powder Technology","29","10","2463","2475","0"
"Borgohain, P., Arumughan, J., Dalal, A., and Natarajan, G.","Design and Performance of a Three-dimensional Micromixer with Curved Ribs","2018","Chemical Engineering Research and Design","136",,"761","775","0"
"Parmananda, M., Dalal, A., and Natarajan, G.","Unified Framework for Buoyancy Induced Radiative-convective Flow and Heat Transfer on Hybrid Unstructured Meshes","2018","International Journal of Heat and Mass Transfer","126",,"908","925","0"
"Nath, B., Biswas, G., Dalal, A., and Sahu, K. C.","Cross-stream Migration of Drops Suspended in Poiseuille Flow in the Presence of an Electric Field","2018","Physical Review E","97",,"63106-1","63106-13","0"
"Manik, J., Dalal, A., and Natarajan, G.","A Generic Algorithm for Three-dimensional Multi-phase Flows on Unstructured Meshes","2018","International Journal of Multiphase Flow","106",,"228","242","0"
"Thirumalaisamy, R., Natarajan, G., and Dalal, A.","A Charge-conservative Approach for Simulating Electrohydrodynamic Two-phase Flows Using Volume-of-fluid","2018","Journal of Computational Physics","230","5","1939","1955","0"
"Deka, H., Ray, B., Biswas, G., Dalal, A.","Dynamics of Tongue Shaped Cavity Generated During the Impact of High-speed Microdrops","2018","Physics of Fluids","30",,"42103-1","42103-14","0"
"Randive, P., Dalal, A., and Mukherjee, P. P.","Mesoscopic Modeling of Capillarity-induced Two-phase Transport in a Microfluidic Porous Structure","2018","Transport in Porous Media","122","3","673","691","0"
"Kotoky, S., Dalal, A., and Natarajan, G","A Parametric Study of Dispersed Laminar Gas-Particle Flows Through Vertical and Horizontal Channels","2018","Advanced Powder Technology","29","5","1072","1084","0"
"Kotoky, S., Dalal, A., and Natarajan, G.","Effects of Specularity and Particle-particle Restitution Coefficients on the Hydrodynamic Behavior of Dispersed Gas-particle Flows Through Horizontal Channels","2018","Advanced Powder Technology","29","4","874","889","0"
"Borgohain, P., Choudhary, D., Dalal, A., and Natarajan, G.","Numerical Investigation of Mixing Enhancement for Multi-species Flows in Wavy Channels","2018","Chemical Engineering & Processing: Process Intensification","127",,"191","205","0"
"Rai, S., Saikia, A., Dalal, A., and Pati, S.","Thermo-hydraulic Transport Characteristics of Non-Newtonian Fluid Flows Through Corrugated Channels","2018","International Journal of Thermal Sciences","129",,"201","208","0"
"Parmananda, M., Dalal, A., and Natarajan, G.","The Influence of Partitions on Predicting Heat Transfer due to the Combined Effects of Convection and Thermal Radiation in Cubical Enclosures","2018","International Journal of Heat and Mass Transfer","121",,"1179","1200","0"
"Borgohain, P., Dalal, A., Natarajan, G., and Gadgil, H.","Numerical Assessment of Mixing Performances in Cross-T Microchannel With Curved Ribs","2018","Microsystem Technologies","24",,"1949","1963","0"
